순위,판매점,제품,가격
41,이마트몰,[피코크] 훈제 오리 다리 살 슬라이스 200g,4980
42,이마트몰,[풀무원] 국산콩 콩나물 340g,2600
43,신세계몰,상품권 모바일교환권 10만원권 [문자발송],100000
44,이마트몰,[풀무원] 국산 콩 순두부 (350g),2000
45,이마트몰,[삼삼데이] 1년에 1번 삼겹살/목심 최대 40%▼,8880
46,이마트몰,[농심] 안성탕면 5입 625g (125g5입),3280
47,이마트몰,[노브랜드]한입쏙쏙비엔나 550g,4980
48,이마트몰,삼다수 500ml,430
49,이마트몰,(쓱배송)  [맥심] 모카골드 마일드 커피믹스 250입,29200
50,이마트몰,[CJ] 비비고왕교자1.12kg,9980
51,이마트몰,[풀무원]국산콩 투컵 두부 600g,5180
52,이마트몰,[노브랜드][냉동] 양지 샤브샤브 (600g),9980
53,이마트몰,농심 얼큰한 너구리 (120gx5입),4080
54,신세계백화점,★SSG 쇼핑의 신세계 기념 단독 특가 최대 할인 80%OFF+추가 쿠폰 할인,74170
55,이마트몰,노브랜드 쫄깃한 베이컨 300g,4180
56,이마트몰,CJ 아삭통통숙주 380g,1880
57,이마트몰,★2개 구매시 50%★하기스 네이처메이드 팬티형 5단계 특대형 공용(11~16kg) 34매,33500
58,이마트몰,[21년산 햅쌀] 철원오대쌀10kg,36900
59,이마트몰,[CJ]삼호 부산어묵 골드 300g,2180
60,이마트몰,노브랜드 감자칩 오리지날 110g,890
61,이마트몰,[필리핀산] Dole 스위티오 바나나 1.3kg내외,5480
62,이마트몰,오뚜기 진라면 순한맛 120g(5입),3100
63,이마트몰,파머스픽 1등급란 15개입 특란,4784
64,이마트몰,[칠레산] 생블루베리 310g,7980
65,이마트몰,CJ 비비고 사골곰탕 500g,1980
66,이마트몰,성주참외 3~8입/봉 (1.2kg내외),14800
67,이마트몰,양송이(팩),3486
68,신세계백화점,NEW 메쉬 핑크 쿠션,89300
69,이마트몰,오리온 초코송이 36g*2번들,1120
70,이마트몰,폰타나 올리브오일500ml,11980
71,이마트몰,노브랜드 키친타올 200매*6롤,4900
72,이마트몰,피코크 에이 클래스 우유 2.3L (1A등급)(남양유업),4960
73,신세계백화점,[주문폭증으로 순차적 출고 예정] [2021년 햅쌀] 쌀가게 수향미 10kg,35820
74,이마트몰,파머스픽 팽이버섯(3입/봉),1780
75,이마트몰,(쓱배송)  [맥심] 카누 마일드 로스트 아메리카노 미니 150입,27500
76,이마트몰,[오리온] 포카칩 오리지널 66g,1180
77,이마트몰,백오이 (5입/봉),4980
78,이마트몰,조리용품 ★최대 50%할인★_3,38360
79,이마트몰,A)하루대파,990
80,이마트몰,[한국야쿠르트] 윌 오리지날 150mlX5개,7500
81,신세계백화점,데일리라이크 키즈 팬티 삭스 특가전(대구신세계 단독) 3/10일까지 *쇼핑백X*,10137
82,이마트몰,[CJ] 꼬마돈까스 450g,3880
83,이마트몰,강릉초당두부 550g,2480
84,이마트몰,[오뚜기] 스낵면 540g (108g*5입),2360
85,이마트몰,하얀계란 30개입 대란,6780
86,이마트몰,파머스픽 파프리카(L3입/봉),5980
87,이마트몰,난이생생 계란 15개입 (왕란 1020g),5980
88,신세계백화점,남녀공용 나이키 데이브레이크 CK2351-101,85680
89,이마트몰,해태 사브레 252g,3580
90,이마트몰,청양고추(봉),1584
91,이마트몰,(쓱배송)  [맥심] 화이트골드 커피믹스 250입,29200
92,신세계몰,갤럭시 S22 울트라 512GB 자급제 SM-S908N,1488960
93,이마트몰,다담 순두부 찌개양념(140g),1680
94,신세계백화점,SS 시즌 신상 일주일 최대 세일 최대 80% OFF+추가 쿠폰,33600
95,howdy,아이폰 13 자급제 128GB 핑크 (MLPH3KH/A),1024600
96,이마트몰,피코크새우볶음밥 6입(210g*6),8980
97,이마트몰,[목우촌] 주부9단 비엔나소시지 1kg,8480
98,신세계몰,[WOMEN] 주간PICK! SSG 특별혜택★봄 신상 트렌치/원피스/자켓 外,89100
99,이마트몰,서울우유 1.8L,4990
100,이마트몰,팔도비빔면 130g*4개,3360
