상품 순, 판매점, 상품명, 가격
28, 이마트몰, [서울우유] 서울우유 1000ml 나100%, 2870원
29, 이마트몰, [CJ] 햇반 (210g*12입), 13980원
30, 이마트몰, 햇양배추, 2384원
31, 이마트몰, [랜더스기획]철원오대쌀10kg, 35840원
32, 이마트몰, 오뚜기 진라면 매운맛 120g*5입, 3580원
33, 이마트몰, 농심 얼큰한 너구리 (120gx5입), 4500원
34, 이마트몰, (G)[피코크] 초콜릿 샌드위치 비스킷 135g, 2980원
35, 이마트몰, 콩이가득두부찌개용 300g, 1480원
36, 신세계몰, 아이폰 14 프로 자급제 256GB 실버 MQ103KH/A, 1649000원
37, 이마트몰, (A)무, 1480원
38, 신세계몰, [신세계상품권] 갤럭시S23 자급제 256GB SM-S911N 새제품 미개봉, 1039500원
39, 이마트몰, 피코크 정통 꿔바로우500g, 6784원
40, 이마트몰, [노브랜드] 숯불 데리야끼 닭꼬치 800g, 14980원
41, 이마트몰, [노브랜드] 구운 김밥용 김 (10매/20g), 1680원
42, 이마트몰, 울트라클린 아쿠아더블롱 30m30롤, 33700원
43, 이마트몰, [농심] 안성탕면 5입 625g (125g5입), 3700원
44, 이마트몰, 흙당근(봉), 4450원
45, 이마트몰, [랜더스] (1+1/기획/최대 50%) 지퍼백/랩/수세미 모음딜 ※일부품목제외, 4380원
46, 신세계몰, 아이패드 에어 5세대 WiFi 64GB 스페이스그레이 MM9C3KH/A, 891840원
47, 신세계몰, (사전예약~5/10)[닌텐도 스위치] 젤다의 전설 티어스 오브 더 킹덤(비치 타월 증정), 74800원
48, 이마트몰, [맥심/바로배송] 카누 마일드 로스트 아메리카노 미니 150입, 29980원
49, 이마트몰, 피코크 모짜렐라 비프라자냐 350g, 4784원
50, 이마트몰, [농심] 새우깡90g, 1180원
51, 이마트몰, [CJ]삼호 부산어묵 골드 사각300g, 2780원
52, 이마트몰, 해태 홈런볼초코5번들 205g, 5850원
53, 이마트몰, [풀무원] 국산콩 콩나물 340g, 2600원
54, 신세계몰, 스마트팩. D2178A. 뷰티레스트 자스민. 라지킹 침대+협탁 101, 3765600원
55, 신세계몰, ★무이자12개월/월 62417원/물량확보★ 다이슨 에어랩™ 멀티 스타일러 컴플리트 롱(니켈/코퍼), 749000원
56, 이마트몰, 이맛쌀 10kg_상등급, 29900원
57, 이마트몰, 백오이 (5입/봉), 4980원
58, 이마트몰, 킷캣 2F 미니 오리지널 9g x 45개입 (405g), 13900원
59, 이마트몰, 유제품 특가 ~ 최대 50% 할인 모음, 5380원
60, 신세계몰, 디럭스 1박 + 5만 리조트머니 - SSG.LIVE, 272000원
61, 이마트몰, 삼다수 500ml, 480원
62, 이마트몰, [노브랜드]한입쏙쏙비엔나 550g, 6980원
63, 신세계백화점, [JJ지고트]봄신상 특가! / SS신상 트위드자켓/원피스/아우터 ~75% + 쿠폰, 31600원
64, 이마트몰, 국내산 삼겹살 구이용 (100g), 2580원
65, 이마트몰, 인기 탄산음료 모음 최대 1+1 행사!, 2580원
66, 신세계몰, 디럭스 2박 + 2인조식(1회) + 해운대 BIG2 - SSG.LIVE, 544000원
67, 이마트몰, [랜더스] 3cm 두툼 메가목살 800g 9900원 특가 외 농협안심한돈 국내산 돼지고기 모음전, 9900원
68, 이마트몰, 노브랜드 쫄깃한 베이컨 300g, 4980원
69, 이마트몰, 오리온 촉촉한초코칩 12P+4P 320G, 3840원
70, 신세계백화점, 일자핏 연청 데님 팬츠 GN4N0SL40, 31600원
71, 이마트몰, A)하루채소 대파, 990원
72, 이마트몰, [풀무원]국산콩 투컵 두부 600g, 5480원
73, 이마트몰, 피코크 에이 클래스 우유 2.3L (1A등급)(남양유업), 5380원
74, 이마트몰, 피코크 트루워터 2L X 6(무라벨 생수), 2580원
75, 이마트몰, [목우촌] 주부9단 비엔나소시지 1kg, 9980원
76, 신세계백화점, [오일릴리] BEST  특가전 제안 +~20%즉시혜택, 81600원
77, 이마트몰, 진주햄 천하장사 건강하닭 448g, 8280원
78, 이마트몰, 진주햄 천하장사 오리지날 690g, 14980원
79, 이마트몰, 오리온 예감 오리지널 192g, 3580원
80, 신세계몰, 아이패드 프로 11 4세대 Wi-Fi 128GB 스페이스그레이 MNXD3KH/A, 1199040원
81, 이마트몰, THE LIMITED 클린우유 900ml, 1880원
82, 이마트몰, [랜더스] (최대50%) JAJU 욕실/청소/가전/수납용품 모음딜, 3900원
83, 이마트몰, CJ 비비고 사골곰탕 500g, 1980원
84, 이마트몰, 노브랜드 JUST 3겹 화장지30M*30롤, 11800원
85, 이마트몰, 청양고추(봉), 2380원
86, 신세계몰, 아이폰 14 프로 자급제 128GB 딥 퍼플 MQ0G3KH/A, 1503500원
87, 신세계몰, 아이폰 14 프로 자급제 256GB 스페이스 블랙 MQ0T3KH/A, 1649000원
88, 이마트몰, 노브랜드 담백한 살코기참치 90g, 1280원
89, 이마트몰, 인기 커피음료 모음 최대 1+1 행사!, 2580원
90, 이마트몰, [롯데] 빈츠 204g, 3980원
91, 이마트몰, 켈로그 콘푸로스트 600g, 4680원
92, 이마트몰, 테팔/락앤락 후라이팬/조리도구 최대 50% 할인, 6930원
93, 이마트몰, [노브랜드][냉동] 차돌박이 바로구이 (600g), 18380원
94, 이마트몰, [필리핀산] 고당도 감숙왕 바나나 1.2kg내외, 6280원
95, 신세계백화점, [New Performance] DURAMO 10 WIDE _[GX0709GX0711GY3855GY3856HQ4130HP2381], 39691원
96, 이마트몰, 롯데 카스타드 2번들 460G(20입), 6980원
97, 신세계백화점, [공식] 헬렌카민스키 커스틴 HUSHF100310, 255000원
98, 이마트몰, [청우] 참깨스틱 220g, 4880원
99, 이마트몰, [동서식품] 카누(호환)캡슐커피/맥심행사 모음전, 6790원
100, 이마트몰, 노브랜드 고르곤졸라치즈소프트콘 150 g, 1480원
